"SCHOOL_YEAR","DISTRICT_NUMBER","DISTRICT_NAME","FINAL_GRANT","DENOMINATOR_STUDIED_COHORT","NUMERATOR_NUM_SUCCESSFUL","Educators.CNT","FULLTIME.Educators.CNT","TEACH_STUD_RATIO","GRAD_RATE"
"2002/2003",5,"Southeast Kootenay",45156132,5625,5285,357,290,0.0515555555555556,93.9555555555556
"2002/2003",6,"Rocky Mountain",30906959,3405,3186,239,170,0.0499265785609398,93.568281938326
"2002/2003",8,"Kootenay Lake",45205310,5252,4859,375,247,0.047029702970297,92.5171363290175
"2002/2003",10,"Arrow Lakes",6866255,601,569,50,28,0.0465890183028286,94.675540765391
"2002/2003",19,"Revelstoke",9878450,1227,1162,89,57,0.0464547677261614,94.7025264873676
"2002/2003",20,"Kootenay-Columbia",36252395,4534,4283,291,234,0.0516100573445082,94.4640494044993
"2002/2003",22,"Vernon",59386728,8041,7631,539,384,0.0477552543216018,94.9011317000373
"2002/2003",23,"Central Okanagan",130946847,18698,17611,1157,1033,0.0552465504332014,94.1865440154027
"2002/2003",27,"Cariboo-Chilcotin",52453063,6240,5559,419,292,0.0467948717948718,89.0865384615385
"2002/2003",28,"Quesnel",33107660,3790,3596,253,210,0.0554089709762533,94.8812664907652
"2002/2003",33,"Chilliwack",74762348,10279,9228,673,547,0.0532152933164705,89.7752699678957
"2002/2003",34,"Abbotsford",114079603,16025,15091,1070,840,0.052418096723869,94.1716068642746
"2002/2003",35,"Langley",116392531,16725,15924,1188,788,0.0471150971599402,95.2107623318386
"2002/2003",36,"Surrey",362022122,50851,48287,3661,2856,0.0561640872352559,94.9578179386836
"2002/2003",37,"Delta",103992285,14777,14347,1017,723,0.048927387155715,97.0900724098261
"2002/2003",38,"Richmond",144131612,19901,19016,1368,1048,0.0526606703180745,95.552987287071
"2002/2003",39,"Vancouver",366289785,47144,44176,3508,2620,0.0555744103173256,93.7043950449686
"2002/2003",40,"New Westminster",37258394,4333,3982,381,272,0.0627740595430418,91.8993768751442
"2002/2003",41,"Burnaby",143821899,20672,19643,1474,1150,0.0556308049535604,95.0222523219814
"2002/2003",42,"Maple Ridge-Pitt Meadows",90501054,12693,12006,878,676,0.0532577010950918,94.587567950839
"2002/2003",43,"Coquitlam",186976895,27529,26501,1934,1472,0.0534708852482836,96.2657561117367
"2002/2003",44,"North Vancouver",110836384,15528,14800,1040,695,0.0447578567748583,95.311695002576
"2002/2003",45,"West Vancouver",36226249,5274,5066,389,279,0.052901023890785,96.0561243837694
"2002/2003",46,"Sunshine Coast",29714512,3550,3402,269,156,0.043943661971831,95.830985915493
"2002/2003",47,"Powell River",19825718,2456,2321,171,129,0.0525244299674267,94.5032573289902
"2002/2003",49,"Central Coast",4399103,252,219,30,23,0.0912698412698413,86.9047619047619
"2002/2003",51,"Boundary",14938142,1713,1597,112,87,0.0507880910683012,93.2282545242265
"2002/2003",52,"Prince Rupert",24454325,2733,2571,202,154,0.0563483351628247,94.0724478594951
"2002/2003",53,"Okanagan Similkameen",21648518,2635,2418,171,142,0.0538899430740038,91.7647058823529
"2002/2003",54,"Bulkley Valley",20214268,2411,2257,167,130,0.0539195354624637,93.6126088759851
"2002/2003",57,"Prince George",118411243,14795,13486,1011,725,0.0490030415680973,91.1524163568773
"2002/2003",58,"Nicola-Similkameen",21367608,2630,2278,184,162,0.0615969581749049,86.6159695817491
"2002/2003",59,"Peace River South",38740122,4226,3939,244,210,0.0496923805016564,93.208707998107
"2002/2003",60,"Peace River North",41306768,5003,4463,324,264,0.052768338996602,89.2064761143314
"2002/2003",61,"Greater Victoria",133710099,18193,17123,1148,830,0.0456219425053592,94.1186170505139
"2002/2003",62,"Sooke",57644388,7748,7104,490,330,0.0425916365513681,91.6881775942179
"2002/2003",63,"Saanich",55446431,7722,7280,516,340,0.044030044030044,94.2760942760943
"2002/2003",64,"Gulf Islands",14233901,1279,1207,111,67,0.0523846755277561,94.3706020328382
"2002/2003",67,"Okanagan Skaha",47322088,6317,6000,412,296,0.046857685610258,94.9817951559285
"2002/2003",68,"Nanaimo-Ladysmith",99457589,13657,12896,908,653,0.0478143076810427,94.4277659808157
