DATA LEVEL,PUBLIC OR INDEPENDENT,DISTRICT NUMBER,Educators CATEGORY,GENDER,SCHOOL YEAR,Educators CNT,FULLTIME Educators CNT,PARTIME Educators CNT,TOTAL FTE,BASE SALARY,TOTAL SALARY,AVERAGE EXPERIENCE,AVERAGE AGE,CERT STANDARD,CERT PROFESSIONAL,CERT CERTIFICATE BASIC,CERT LETTER PERMISSION,EXPERIENCE LESS THAN YR,EXPERIENCE 1 TO 4 YR,EXPERIENCE 5 TO 9 YR,EXPERIENCE 10 TO 19 YR,EXPERIENCE 20 OR MORE YR,AGE GRP 20 TO 24 CNT,AGE GRP 25 TO 29 CNT,AGE GRP 30 TO 34 CNT,AGE GRP 35 TO 39 CNT,AGE GRP 40 TO 44 CNT,AGE GRP 45 TO 49 CNT,AGE GRP 50 TO 54 CNT,AGE GRP 55 TO 59 CNT,AGE GRP 60 TO 64 CNT,AGE GRP 65 AND OVER CNT
DISTRICT LEVEL,BC Public School,5,Administrators,All,1991/1992,48,48,0,48,59491,63819,19.7,45.9,0,48,0,0,0,1,2,22,23,0,0,1,2,20,12,10,3,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,1992/1993,48,48,0,48,65447,70438,20.9,46.8,0,48,0,0,0,1,1,19,27,0,0,0,3,16,15,10,4,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,1993/1994,47,47,0,47,66999,72101,21.8,47.9,0,47,0,0,0,1,1,15,30,0,0,0,3,11,16,10,6,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,1994/1995,46,46,0,46,67361,72573,22.2,48.4,0,46,0,0,0,1,1,13,31,0,0,0,3,10,14,12,5,2,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,1995/1996,42,42,0,42,67752,73234,22.7,48.8,1,41,0,0,0,0,1,8,33,0,0,0,1,5,17,12,7,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,1996/1997,43,43,0,43,68126,73943,23.3,49.2,1,42,0,0,0,0,1,9,33,0,0,0,1,6,17,11,8,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,1997/1998,44,44,0,44,69076,74309,22.7,48.8,1,43,0,0,1,0,1,8,34,0,0,0,0,9,16,14,4,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,1998/1999,43,43,0,43,69319,75041,23.7,49.9,1,42,0,0,0,1,1,8,33,0,0,0,0,8,14,14,6,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,1999/2000,40,40,0,40,65814,77525,24.2,50.5,1,39,0,0,0,1,0,5,34,0,0,0,0,2,19,11,7,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2000/2001,39,39,0,39,66529,78668,22.5,49.2,1,38,0,0,0,3,1,6,29,0,0,2,1,1,11,19,4,1,0
